file_id,action,reason,duplicate_key,artist,album,title,size_bytes,source_path,keep_path,quarantine_path
2681,quarantine,"same metadata artist, album, and title as kept file",a perfect circle | thirteenth step | the noose,A Perfect Circle,Thirteenth Step,The Noose,7044119,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/03 - The Noose.mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/03 - The Noose (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/03 - The Noose.mp3
3903,keep,largest file in duplicate metadata group,a perfect circle | thirteenth step | the noose,A Perfect Circle,Thirteenth Step,The Noose,7044119,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/03 - The Noose (2).mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/03 - The Noose (2).mp3,
3913,quarantine,"same metadata artist, album, and title as kept file",a perfect circle | thirteenth step | the noose,A Perfect Circle,Thirteenth Step,The Noose,4752443,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/APWG.m4a,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/03 - The Noose (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/APWG.m4a
2687,quarantine,"same metadata artist, album, and title as kept file",a perfect circle | thirteenth step | the nurse who loved me,A Perfect Circle,Thirteenth Step,The Nurse Who Loved Me,5880521,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/09 - The Nurse Who Loved Me.mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/09 - The Nurse Who Loved Me (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/09 - The Nurse Who Loved Me.mp3
3909,keep,largest file in duplicate metadata group,a perfect circle | thirteenth step | the nurse who loved me,A Perfect Circle,Thirteenth Step,The Nurse Who Loved Me,5880521,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/09 - The Nurse Who Loved Me (2).mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/09 - The Nurse Who Loved Me (2).mp3,
3916,quarantine,"same metadata artist, album, and title as kept file",a perfect circle | thirteenth step | the nurse who loved me,A Perfect Circle,Thirteenth Step,The Nurse Who Loved Me,3971751,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/DJYQ.m4a,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/09 - The Nurse Who Loved Me (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/DJYQ.m4a
2685,quarantine,"same metadata artist, album, and title as kept file",a perfect circle | thirteenth step | the outsider,A Perfect Circle,Thirteenth Step,The Outsider,5911868,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/07 - The Outsider.mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/07 - The Outsider (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/07 - The Outsider.mp3
3907,keep,largest file in duplicate metadata group,a perfect circle | thirteenth step | the outsider,A Perfect Circle,Thirteenth Step,The Outsider,5911868,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/07 - The Outsider (2).mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/07 - The Outsider (2).mp3,
3920,quarantine,"same metadata artist, album, and title as kept file",a perfect circle | thirteenth step | the outsider,A Perfect Circle,Thirteenth Step,The Outsider,3985472,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/QJPA.m4a,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/07 - The Outsider (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/QJPA.m4a
2679,quarantine,"same metadata artist, album, and title as kept file",a perfect circle | thirteenth step | the package,A Perfect Circle,Thirteenth Step,The Package,11056527,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/01 - The Package.mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/01 - The Package (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/01 - The Package.mp3
